Algorithm,Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,Runtime (secs),Success,Min SOC,Max SOC,CT Nodes,ODA* Nodes
CBS,Corridor Map,12345678, 1,10, 578795454111684567,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 578795454111684567, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 5228949629581375281,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 5228949629581375281, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 2517528399200938205,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 2517528399200938205, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 951458437838887354,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 951458437838887354, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 5617885743916618233,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 5617885743916618233, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 8057098655285878014,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 8057098655285878014, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 153190561772388412,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 153190561772388412, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 9140324666481618879,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 9140324666481618879, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 3937997829709015307,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 3937997829709015307, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 8879480259320549277,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 8879480259320549277, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 5800701103465970309,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 5800701103465970309, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 1342065629309292113,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 1342065629309292113, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 5091165539800509386,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 5091165539800509386, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 329226960289980319,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 329226960289980319, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 7186661901886079812,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 7186661901886079812, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 173898935903886731,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 173898935903886731, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 4199349005782170090,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 4199349005782170090, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 1907717314781474866,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 1907717314781474866, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 5942006887560754601,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 5942006887560754601, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 7565842632033631595,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 7565842632033631595, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 8126434423918088845,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 8126434423918088845, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 1951805898608960057,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 1951805898608960057, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 3641891039608181371,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 3641891039608181371, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 2048746288084030445,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 2048746288084030445, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 1,10, 4744745749994824001,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 1,10, 4744745749994824001, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 907208967269946619,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 907208967269946619, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1753717759878385377,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1753717759878385377, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6840431287097816122,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6840431287097816122, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6559451191412225491,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6559451191412225491, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1312448047737654208,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1312448047737654208, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6002367085173059010,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6002367085173059010, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 8482329440282034595,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 8482329440282034595, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6617597343361063812,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6617597343361063812, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 4736550147746855342,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 4736550147746855342, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 402162629897726863,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 402162629897726863, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1342470575706649450,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1342470575706649450, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 5021765468749323805,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 5021765468749323805, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 5963671966078134268,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 5963671966078134268, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1030708494651871729,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1030708494651871729, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 3823689579736210455,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 3823689579736210455, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 3813413097455704068,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 3813413097455704068, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 4838728905919494975,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 4838728905919494975, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6299513851551927988,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6299513851551927988, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1010690931980275660,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1010690931980275660, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 6394560242435512171,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 6394560242435512171, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 407731308383316256,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 407731308383316256, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 8969086898485450828,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 8969086898485450828, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 7729010071344516353,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 7729010071344516353, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 3218941136606334948,-1,0,-,-,-,-
