Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC
Open Map,96372106,0,10,10637313,False,0.0,0.059682369232177734,0.0037360191345214844,1,64,64,0,64,64,64,0,uniform,64,Min Best Case,No Change,0,63,63
Open Map,96372106,0,10,10637314,False,0.0,153.10397815704346,0.003086090087890625,1,60,60,0,60,60,60,0,uniform,60,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637315,False,0.0,0.36551833152770996,0.004025459289550781,1,70,70,0,70,70,70,0,uniform,70,Min Best Case,No Change,0,70,70
Open Map,96372106,0,10,10637316,False,0.0,0.01779341697692871,0.0028231143951416016,1,59,59,0,59,59,59,0,uniform,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637317,False,0.0,0.009061336517333984,0.002980470657348633,1,61,61,0,61,61,61,0,uniform,61,Min Best Case,No Change,0,61,61
Open Map,96372106,0,10,10637318,False,0.0,0.0027577877044677734,0.0024242401123046875,1,49,49,0,49,49,49,0,uniform,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637319,False,0.0,1.5877037048339844,0.0030961036682128906,1,59,59,0,59,59,59,0,uniform,59,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637320,False,0.0,0.0048291683197021484,0.0026090145111083984,1,49,49,0,49,49,49,0,uniform,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637321,False,0.0,0.022243738174438477,0.00261688232421875,1,52,52,0,52,52,52,0,uniform,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637322,False,0.0,0.0433497428894043,0.0030105113983154297,1,58,58,0,58,58,58,0,uniform,58,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637323,False,0.0,54.16408371925354,0.0038766860961914062,1,67,67,0,67,67,67,0,uniform,67,Min Best Case,No Change,0,65,65
Open Map,96372106,0,10,10637324,False,0.0,0.007693290710449219,0.0026874542236328125,1,45,45,0,45,45,45,0,uniform,45,Min Best Case,No Change,0,44,44
Open Map,96372106,0,10,10637325,False,0.0,0.06921029090881348,0.0026712417602539062,1,49,49,0,49,49,49,0,uniform,49,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637326,False,0.0,0.027276039123535156,0.0030722618103027344,1,57,57,0,57,57,57,0,uniform,57,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637327,False,0.0,0.002348661422729492,0.002168893814086914,1,51,51,0,51,51,51,0,uniform,51,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637328,False,0.0,2.091289758682251,0.0026891231536865234,1,54,54,0,54,54,54,0,uniform,54,Min Best Case,No Change,0,52,52
Open Map,96372106,0,10,10637329,False,0.0,0.008891105651855469,0.0028433799743652344,1,55,55,0,55,55,55,0,uniform,55,Min Best Case,No Change,0,55,55
Open Map,96372106,0,10,10637330,False,0.0,0.0971982479095459,0.0029006004333496094,1,63,63,0,63,63,63,0,uniform,63,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637331,False,0.0,0.008097171783447266,0.0029158592224121094,1,47,47,0,47,47,47,0,uniform,47,Min Best Case,No Change,0,47,47
Open Map,96372106,0,10,10637332,False,0.0,0.004456996917724609,0.0022704601287841797,1,44,44,0,44,44,44,0,uniform,44,Min Best Case,No Change,0,44,44
Open Map,96372106,0,10,10637333,False,0.0,0.004137754440307617,0.003128528594970703,1,53,53,0,53,53,53,0,uniform,53,Min Best Case,No Change,0,53,53
Open Map,96372106,0,10,10637334,False,0.0,0.01533961296081543,0.0040740966796875,1,59,59,0,59,59,59,0,uniform,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637335,False,0.0,0.0030465126037597656,0.004895687103271484,1,48,48,0,48,48,48,0,uniform,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637336,False,0.0,0.010934114456176758,0.004210472106933594,1,72,72,0,72,72,72,0,uniform,72,Min Best Case,No Change,0,72,72
Open Map,96372106,0,10,10637337,False,0.0,0.007744312286376953,0.002841472625732422,1,47,47,0,47,47,47,0,uniform,47,Min Best Case,No Change,0,47,47
Open Map,96372106,0,10,10637338,False,0.0,0.004098176956176758,0.0029299259185791016,1,59,59,0,59,59,59,0,uniform,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637339,False,0.0,0.02068638801574707,0.003487110137939453,1,67,67,0,67,67,67,0,uniform,67,Min Best Case,No Change,0,65,65
Open Map,96372106,0,10,10637340,False,0.0,0.098602294921875,0.002819538116455078,1,54,54,0,54,54,54,0,uniform,54,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637341,False,0.0,0.006619691848754883,0.0035407543182373047,1,50,50,0,50,50,50,0,uniform,50,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637342,False,0.0,2.2977688312530518,0.0027418136596679688,1,57,57,0,57,57,57,0,uniform,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637343,False,0.0,0.006325483322143555,0.0027129650115966797,1,52,52,0,52,52,52,0,uniform,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637344,False,0.0,0.1291637420654297,0.0025637149810791016,1,55,55,0,55,55,55,0,uniform,55,Min Best Case,No Change,0,54,54
Open Map,96372106,0,10,10637345,False,0.0,0.010699272155761719,0.0031108856201171875,1,66,66,0,66,66,66,0,uniform,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637296,False,0.0,0.02771759033203125,0.003407001495361328,1,53,53,0,53,53,53,0,max,53,Min Worst Case,No Change,0,53,53
Open Map,96372106,0,10,10637297,False,0.0,0.01361393928527832,0.0032227039337158203,1,57,57,0,57,57,57,0,max,57,Min Worst Case,No Change,0,57,57
Open Map,96372106,0,10,10637298,False,0.0,0.005946636199951172,0.0026438236236572266,1,57,57,0,57,57,57,0,max,57,Min Worst Case,No Change,0,56,56
Open Map,96372106,0,10,10637299,False,0.0,0.006015777587890625,0.0028498172760009766,1,62,62,0,62,62,62,0,max,62,Min Worst Case,No Change,0,62,62
Open Map,96372106,0,10,10637300,False,0.0,0.05849504470825195,0.0031633377075195312,1,66,66,0,66,66,66,0,max,66,Min Worst Case,No Change,0,66,66
Open Map,96372106,0,10,10637301,False,0.0,0.018436431884765625,0.0032651424407958984,1,48,48,0,48,48,48,0,max,48,Min Worst Case,No Change,0,48,48
Open Map,96372106,0,10,10637302,False,0.0,0.00888681411743164,0.0033500194549560547,1,71,71,0,71,71,71,0,max,71,Min Worst Case,No Change,0,71,71
Open Map,96372106,0,10,10637303,False,0.0,0.008867740631103516,0.0028510093688964844,1,50,50,0,50,50,50,0,max,50,Min Worst Case,No Change,0,50,50
Open Map,96372106,0,10,10637304,False,0.0,0.005284309387207031,0.002528667449951172,1,41,41,0,41,41,41,0,max,41,Min Worst Case,No Change,0,41,41
Open Map,96372106,0,10,10637305,False,0.0,0.0273592472076416,0.004775285720825195,1,59,59,0,59,59,59,0,max,59,Min Worst Case,No Change,0,57,57
Open Map,96372106,0,10,10637306,False,0.0,0.018553733825683594,0.003580808639526367,1,58,58,0,58,58,58,0,max,58,Min Worst Case,No Change,0,58,58
Open Map,96372106,0,10,10637307,False,0.0,0.02526259422302246,0.0032470226287841797,1,57,57,0,57,57,57,0,max,57,Min Worst Case,No Change,0,56,56
Open Map,96372106,0,10,10637308,False,0.0,0.012043237686157227,0.005617380142211914,1,64,64,0,64,64,64,0,max,64,Min Worst Case,No Change,0,64,64
Open Map,96372106,0,10,10637309,False,0.0,0.017592191696166992,0.003679990768432617,1,60,60,0,60,60,60,0,max,60,Min Worst Case,No Change,0,59,59
Open Map,96372106,0,10,10637310,False,0.0,0.020689725875854492,0.0036427974700927734,1,63,63,0,63,63,63,0,max,63,Min Worst Case,No Change,0,62,62
Open Map,96372106,0,10,10637311,False,0.0,0.006697654724121094,0.0035123825073242188,1,58,58,0,58,58,58,0,max,58,Min Worst Case,No Change,0,58,58
Open Map,96372106,0,10,10637312,False,0.0,0.06869673728942871,0.0028162002563476562,1,46,46,0,46,46,46,0,max,46,Min Worst Case,No Change,0,43,43
